0.166700	0.166794	0.166854	
0.166839	0.166694	0.166828	
0.166688	0.166782	0.166876	
0.166767	0.166804	0.166843	
0.166799	0.166776	0.166842	
0.166799	0.166775	0.166843	
0.166847	0.166655	0.166835	
0.166846	0.166654	0.166836	
0.166829	0.166835	0.166751	
0.166907	0.166723	0.166712	
0.166836	0.166843	0.166736	
0.166783	0.166766	0.166877	
0.166778	0.166761	0.166882	
0.166782	0.166764	0.166880	
0.166870	0.166846	0.166710	
0.166870	0.166846	0.166709	
0.166871	0.166852	0.166699	
0.166666	0.166857	0.166873	
0.166894	0.166835	0.166703	
0.166870	0.166817	0.166810	
0.166838	0.166755	0.166886	
0.166837	0.166754	0.166888	
0.166832	0.166749	0.166894	
0.166734	0.166927	0.166785	
0.166835	0.166751	0.166892	
0.166818	0.166909	0.166742	
0.166685	0.166891	0.166859	
0.166715	0.166953	0.166734	
0.166750	0.166734	0.166951	
0.166952	0.166765	0.166710	
0.166705	0.166781	0.166947	
0.166955	0.166768	0.166698	
0.166752	0.166704	0.166960	
0.166752	0.166704	0.166960	
0.166710	0.166781	0.166950	
0.166779	0.166755	0.166940	
0.166832	0.166916	0.166593	
0.166794	0.166951	0.166674	
0.166650	0.166898	0.166876	
0.166955	0.166783	0.166691	
0.166957	0.166783	0.166689	
0.166778	0.166960	0.166693	
0.166958	0.166784	0.166687	
0.166648	0.166726	0.166977	
0.166960	0.166782	0.166687	
0.166705	0.166776	0.166962	
0.166775	0.166964	0.166693	
0.166802	0.166959	0.166663	
0.166839	0.166652	0.166939	
0.166837	0.166650	0.166941	
0.166836	0.166650	0.166942	
0.166801	0.166708	0.166959	
0.166777	0.166685	0.166971	
0.166834	0.166645	0.166951	
0.166809	0.166965	0.166662	
0.166638	0.166844	0.166946	
0.166730	0.166992	0.166698	
0.166818	0.166632	0.166963	
0.166649	0.166934	0.166868	
0.166649	0.166934	0.166867	
0.166606	0.166828	0.166957	
0.166999	0.166688	0.166742	
0.167001	0.166687	0.166746	
0.166741	0.167003	0.166689	
0.166741	0.167003	0.166688	
0.166618	0.166867	0.166946	
0.166738	0.167006	0.166688	
0.166922	0.166898	0.166598	
0.166553	0.166942	0.166854	
0.166646	0.166906	0.166924	
0.166973	0.166836	0.166623	
0.166919	0.166607	0.166907	
0.166584	0.166969	0.166831	
0.166993	0.166800	0.166622	
0.166997	0.166796	0.166622	
0.166927	0.166903	0.166584	
0.166798	0.166618	0.167000	
0.166940	0.166890	0.166584	
0.166797	0.166618	0.167003	
0.166801	0.166616	0.167002	
0.167028	0.166716	0.166689	
0.166873	0.166957	0.166584	
0.166604	0.166896	0.166945	
0.166799	0.166614	0.167005	
0.166958	0.166607	0.166886	
0.166973	0.166879	0.166616	
0.166983	0.166581	0.166852	
0.166945	0.166594	0.166912	
0.166582	0.166991	0.166844	
0.167003	0.166829	0.166597	
0.167011	0.166822	0.166596	
0.166848	0.167004	0.166578	
0.167017	0.166828	0.166583	
0.166684	0.167064	0.166723	
0.166686	0.167063	0.166727	
0.166645	0.166816	0.167039	
0.166845	0.167015	0.166559	
0.167011	0.166565	0.166859	
0.167011	0.166565	0.166858	
0.167330	0.166227	0.166882	
